date,id,region,pid,province,cases acc,cases new,deaths acc,deaths new
2020-02-29,14,"Murcia, Región de",30,Murcia,0,0,0.0,0.0
2020-02-29,15,"Navarra, Comunidad Foral de",31,Navarra,0,0,0.0,0.0
2020-03-01,1,Andalucía,4,Almería,0,0,0.0,0.0
2020-03-01,1,Andalucía,11,Cádiz,0,0,0.0,0.0
2020-03-01,1,Andalucía,14,Córdoba,0,0,0.0,0.0
2020-03-01,1,Andalucía,18,Granada,0,0,0.0,0.0
2020-03-01,1,Andalucía,21,Huelva,0,0,0.0,0.0
2020-03-01,1,Andalucía,23,Jaén,1,0,0.0,0.0
2020-03-01,1,Andalucía,29,Málaga,2,0,0.0,0.0
2020-03-01,1,Andalucía,41,Sevilla,3,2,0.0,0.0
2020-03-01,2,Aragón,22,Huesca,0,0,0.0,0.0
2020-03-01,2,Aragón,44,Teruel,0,0,0.0,0.0
2020-03-01,2,Aragón,50,Zaragoza,1,0,0.0,0.0
2020-03-01,3,"Asturias, Principado de",33,Asturias,1,1,0.0,0.0
2020-03-01,4,"Balears, Illes",7,"Balears, Illes",2,0,0.0,0.0
2020-03-01,5,Canarias,35,"Palmas, Las",0,0,0.0,0.0
2020-03-01,5,Canarias,38,Santa Cruz de Tenerife,5,0,0.0,0.0
2020-03-01,6,Cantabria,39,Cantabria,1,1,0.0,0.0
2020-03-01,8,Castila-La Mancha,2,Albacete,0,0,0.0,0.0
2020-03-01,8,Castila-La Mancha,13,Ciudad Real,0,0,0.0,0.0
2020-03-01,8,Castila-La Mancha,16,Cuenca,0,0,0.0,0.0
2020-03-01,8,Castila-La Mancha,19,Guadalajara,1,0,0.0,0.0
2020-03-01,8,Castila-La Mancha,45,Toledo,0,0,0.0,0.0
2020-03-01,9,Cataluña,8,Barcelona,6,1,,
2020-03-01,18,Ceuta,51,Ceuta,0,0,0.0,0.0
2020-03-01,10,Comunitat Valenciana,3,Alicante,0,0,0.0,0.0
2020-03-01,10,Comunitat Valenciana,12,Castellón,1,0,0.0,0.0
2020-03-01,10,Comunitat Valenciana,46,Valencia,15,0,0.0,0.0
2020-03-01,12,Galicia,15,"Coruña, A",0,0,0.0,0.0
2020-03-01,12,Galicia,27,Lugo,0,0,0.0,0.0
2020-03-01,12,Galicia,32,Ourense,0,0,0.0,0.0
2020-03-01,12,Galicia,36,Pontevedra,0,0,0.0,0.0
2020-03-01,17,"Rioja, La",26,"Rioja, La",0,0,0.0,0.0
2020-03-01,13,"Madrid, Comunidad de",28,Madrid,26,7,0.0,0.0
2020-03-01,19,Melilla,52,Melilla,0,0,0.0,0.0
2020-03-01,14,"Murcia, Región de",30,Murcia,0,0,0.0,0.0
2020-03-01,15,"Navarra, Comunidad Foral de",31,Navarra,1,1,0.0,0.0
2020-03-01,16,País Vasco,1,Araba,1,1,0.0,0.0
2020-03-01,16,País Vasco,48,Bizkaia,0,0,0.0,0.0
2020-03-01,16,País Vasco,20,Gipuzkoa,0,0,0.0,0.0
2020-03-02,1,Andalucía,4,Almería,0,0,0.0,0.0
2020-03-02,1,Andalucía,11,Cádiz,0,0,0.0,0.0
2020-03-02,1,Andalucía,14,Córdoba,0,0,0.0,0.0
2020-03-02,1,Andalucía,18,Granada,0,0,0.0,0.0
2020-03-02,1,Andalucía,21,Huelva,0,0,0.0,0.0
2020-03-02,1,Andalucía,23,Jaén,1,0,0.0,0.0
2020-03-02,1,Andalucía,29,Málaga,2,0,0.0,0.0
2020-03-02,1,Andalucía,41,Sevilla,3,0,0.0,0.0
2020-03-02,2,Aragón,22,Huesca,0,0,0.0,0.0
2020-03-02,2,Aragón,44,Teruel,0,0,0.0,0.0
2020-03-02,2,Aragón,50,Zaragoza,1,0,0.0,0.0
2020-03-02,3,"Asturias, Principado de",33,Asturias,1,0,0.0,0.0
2020-03-02,4,"Balears, Illes",7,"Balears, Illes",2,0,0.0,0.0
2020-03-02,5,Canarias,35,"Palmas, Las",0,0,0.0,0.0
2020-03-02,5,Canarias,38,Santa Cruz de Tenerife,5,0,0.0,0.0
2020-03-02,6,Cantabria,39,Cantabria,10,9,0.0,0.0
2020-03-02,8,Castila-La Mancha,2,Albacete,1,1,0.0,0.0
2020-03-02,8,Castila-La Mancha,13,Ciudad Real,0,0,0.0,0.0
2020-03-02,8,Castila-La Mancha,16,Cuenca,0,0,0.0,0.0
2020-03-02,8,Castila-La Mancha,19,Guadalajara,1,0,0.0,0.0
2020-03-02,8,Castila-La Mancha,45,Toledo,0,0,0.0,0.0
2020-03-02,9,Cataluña,8,Barcelona,17,11,,
2020-03-02,18,Ceuta,51,Ceuta,0,0,0.0,0.0
2020-03-02,10,Comunitat Valenciana,3,Alicante,0,0,0.0,0.0
2020-03-02,10,Comunitat Valenciana,12,Castellón,1,0,0.0,0.0
2020-03-02,10,Comunitat Valenciana,46,Valencia,17,2,0.0,0.0
